",",Notes,Year,Country,Director,Subtitles,Link 1,Link 1
"Jeanne Dielman, 23, Quai du Commerce 1080 Bruxelles",,1975,Belgium,Chantal Akerman,yes,https://drive.google.com/file/d/13rzerRbvva3Agp6E8-lkh4uYe54yqy45hQ/view,
News from Home,,1977,Belgium,Chantal Akerman,yes,https://drive.google.com/open?id=1-i7gR7bozIuGEVgM-zuH-FttaMtJK82tog,
The Meetings of Anna,,1978,Belgium,Chantal Akerman,yes,https://drive.google.com/open?id=1n9ZUXlfpAeAPouknSN9m66g449Mlrl-6YA,
Tell Me,,1980,Belgium,Chantal Akerman,no,https://drive.google.com/open?id=1fW5EPaPrp3pVu-DRxSdbu4JfGA2QJehU2w,
Toute une nuit,,1982,Belgium,Chantal Akerman,yes,https://drive.google.com/file/d/1VpNaqUkeTL2dT2sgDAVn9Xu5pEbC6QGL1g/view,
The Eighties,,1983,Belgium,Chantal Akerman,no,https://drive.google.com/open?id=1lvH7Vd8P3hv2tPva2W6AXnDQiQZelqNCcQ,
La Promesse,,1996,Belgium,Dardenne Brothers,yes,https://drive.google.com/file/d/1VQ4h7EKvTU8TiYp9lffzXr1H6GVvb5_PgQ/view,
Rosetta,,1999,Belgium,Dardenne Brothers,yes,https://drive.google.com/file/d/1JlLdwlLwJhoPeMhSBDvAojNt6XGIIaIkLA/view,
The Captive,,2000,Belgium,Chantal Akerman,no,https://drive.google.com/file/d/1IWCl52kJgtdpX2NontFiBS4KQNbtNv8tEw/view,
The Son,,2002,Belgium,Dardenne Brothers,yes,https://drive.google.com/file/d/1el35Et50e903NwfcQx6wHN6n6RpAJ2xWEg/view,
The Child,,2005,Belgium,Dardenne Brothers,yes,https://drive.google.com/file/d/1wVnuD1w1y92YBHdqP0yv82OMU0NZiNBfIg/view,
Almayer’s Folly,,2011,Belgium,Chantal Akerman,no,https://drive.google.com/open?id=16qxZ7fI_J8u2m3P6vVBsNlgey_TTh56llw,
The Kid with a Bike,,2011,Belgium,Dardenne Brothers,yes,https://drive.google.com/file/d/19rTP_aYW946dpYjYw8JqlFL9zE-zpE5cFg/view,
Two Days One Night,,2014,Belgium,Dardenne Brothers,yes,https://drive.google.com/file/d/1DLT5SOke7bcWFKqR1IVvVy8JMEKhWPy7hw/view,
No Home Movie,,2015,Belgium,Chantal Akerman,no,https://drive.google.com/open?id=1tlvPVkezyydovp2s6n_i6hFs3jhm-0arvA,
The Second Night,,2016,Belgium,Eric Pauwels,yes,https://drive.google.com/open?id=1FgRYi58o08dZT5X-9Wf-3gnq0lUm8jXM,
The Unknown Girl,,2016,Belgium,Dardenne Brothers,yes,https://drive.google.com/file/d/1eXkNFtnlrdJg3sDfvJ6OoNyDfHxHtXAZFw/view,
No Man's Land,,2001,Bosnia and Herzegovina,Danis Tanović,yes,https://drive.google.com/open?id=19qaQ2_XiRcvsPDWvL22ieg9VqO4vI2Dv_g,
The Given Word,,1962,Brazil,Anselmo Duarte,yes,https://drive.google.com/open?id=1UxkXXMmzggWMZUZQRkPfiEPntHs3eH6XKw,https://drive.google.com/open?id=1LPk1Ej35odzYwHzVEXiaUS9RLtEwqNp3Sg
"Black God, White Devil",,1964,Brazil,Glauber Rocha,yes,https://drive.google.com/open?id=1_0M_bYLhDBWyW5p6-Q6evcLXA3WNsAW-yA,
Central Station,,1998,Brazil,Walter Salles,yes,https://drive.google.com/open?id=16lHi1NVF6g9KT7g66zWh0BUsX7qDOVksGA,
