",",Notes,Year,Country,Director,Subtitles,Link 1,Link 1
Pina,,2011,Germany,Wim Wenders,yes,https://drive.google.com/open?id=1DiqXAHwu48oTc_HPd2ohEnndUFsMTWMouQ,
A Coffee in Berlin,,2012,Germany,Jan Ole Gerster,yes,https://drive.google.com/open?id=1gTEcPx9_8iISmpcBkytQLc-FxMXd6wONdw,
Stella,,1955,Greece,Mihalis Kakogiannis,no,https://drive.google.com/open?id=1vlkiVI_3Vh7xqG20YEMHhHXkiefKNO2NHw,
A Girl in Black,,1956,Greece,Mihalis Kakogiannis,yes,https://drive.google.com/open?id=1LVWgueH3WZqc0C1VPxqBDiuJNeujr1T86A,
Broadcast,,1968,Greece,Theo Angelopoulos,no,https://drive.google.com/open?id=1SlOd7hg_dkVuloO7_aztr5ahuxQUGNjgng,
Reconstruction,,1970,Greece,Theo Angelopoulos,yes,https://drive.google.com/file/d/17_wRlF9mJvA0ACU7wpAmbowR2dpZuTSmNA/view,https://drive.google.com/file/d/1IV5doT3PtrOTZs9W3_3pBZ670zxWS5ktww/view
Days of 36,,1972,Greece,Theo Angelopoulos,yes,https://drive.google.com/open?id=1xUavA1gHwxWcG0fpSfIQNIylKm3BbFH85A,
Evridiki BA 2037,,1975,Greece,Nikos Nikolaidis,yes,https://drive.google.com/file/d/1jMD7FmnEWVgeaIVTIuwvmehimoryGOvEQw/view,
The Travelling Players,,1975,Greece,Theo Angelopoulos,yes,https://drive.google.com/open?id=1-Tfr0EmV-v43DgNlGPgGOJmhKt2-QBQdmQ,https://drive.google.com/open?id=1wQ3w1iSQ7JGsloqKE7E3RYWfGzCj_Ln2mw
The Hunters,,1977,Greece,Theo Angelopoulos,yes,https://drive.google.com/open?id=1_CFG8jqRZJKvFnka4-9IbEzLXfnxOmPPAw,https://drive.google.com/open?id=1fRUo4ZtUR1-w8pYQQPX3WwD6J4a69IAHhw
Alexander the Great,,1980,Greece,Theo Angelopoulos,no,https://drive.google.com/open?id=1i1a58Qit-_4vTJ8e7pLlb8DIlscalrOtgQ,
Landscape in the Mist,,1988,Greece,Theo Angelopoulos,yes,https://drive.google.com/open?id=1Zsa_5AlQqi6MNQRh0ia-FYu6mY1wwy7QXA,
Ulysses’ Gaze,,1995,Greece,Theo Angelopoulos,yes,https://drive.google.com/open?id=1KW58qJm9uKDlawkIBvlfaBK8RhNoie_ZBg,
Eternity and a Day,,1998,Greece,Theo Angelopoulos,yes,https://drive.google.com/open?id=1WUDzrDQR44cOJF2J2KW-0R6ciu-SuDd0xw,
The Weeping Meadow,,2004,Greece,Theo Angelopoulos,yes,https://drive.google.com/open?id=1N8GqV8VlH-30aQKBhRILeeG34syoXwa8kw,
Dogtooth,,2009,Greece,Yorgos Lanthimos,yes,https://drive.google.com/open?id=1NX7Bnj4Gk2Bb3fKQv7l1M869_cmspyLpog,
Adoption,,1975,Hungary,Márta Mészáros,no,https://drive.google.com/open?id=1cYk-jgPoUFVGOPCuzhsQbWwVONIKkZ0gZQ,
The Two of Them,,1978,Hungary,Márta Mészáros,no,https://drive.google.com/open?id=1fWo7zsc-_klbVsbdONw_V_ZfOJGY4m8MKA,
Family Nest,,1979,Hungary,Béla Tarr,yes,https://drive.google.com/open?id=12ABlYQqS37FlBajdwLeeXP2iwRzA2F-ySQ,
The Inheritance,,1980,Hungary,Márta Mészáros,no,https://drive.google.com/open?id=1rn6_fkGG_vzdRzIu7UvMxk79Q1Kq8xKRxg,
Mephisto,,1981,Hungary,István Szabó,no,https://drive.google.com/open?id=1yyOhK5NujbKBLbSWAx4kCvp58t2Hg_VQzQ,
The Prefab People,,1982,Hungary,Béla Tarr,yes,https://drive.google.com/file/d/1U5iOM-L6mZ8srYPEVuszKW7AR8t1NYg6Uw/view,
Almanac of Fall,,1984,Hungary,Béla Tarr,yes,https://drive.google.com/file/d/1n6QVH7di7IWYIaJMCu7LL8UEW0jXVhTW6w/view,
Damnation,,1988,Hungary,Béla Tarr,yes,https://drive.google.com/file/d/15gfp4PFgBirWLjH-463diKF6Pd5o_KKBGw/view,
Twilight,,1990,Hungary,György Fehér,no,https://drive.google.com/file/d/1I0V6Vnu7Wdk8CwBa6smDj-YzBRvsvneS2A/view,
Satantango E1,,1994,Hungary,Béla Tarr,yes,https://drive.google.com/open?id=1PXmu5KmrYFpaoAFaG4dujzYkM8rxIgd7FA,
Satantango E2,,1994,Hungary,Béla Tarr,yes,https://drive.google.com/open?id=1IvjPccSLGouSX4klISDsPvP_rQq1O3MmiA,
Satantango E3,,1994,Hungary,Béla Tarr,yes,https://drive.google.com/open?id=1u0oJgiTuFAf-0AjeZEAIQLaXvZtNCL-ZVg,
Satantango E4,,1994,Hungary,Béla Tarr,yes,https://drive.google.com/open?id=1yHLlqMYk6TIHmZT4muc4YytMFChDm6RdJQ,
Satantango E5,,1994,Hungary,Béla Tarr,yes,https://drive.google.com/open?id=1SBXP2FnosnbbL-oXOnLFQDyaqZR7s_d8nw,
Satantango E6,,1994,Hungary,Béla Tarr,yes,https://drive.google.com/open?id=1jayS2Vwr113ACx9QIASNuX-yCCPSM0Yf_w,
Satantango E7,,1994,Hungary,Béla Tarr,yes,https://drive.google.com/open?id=1cODX-9K1gy_4eK7FBhUe2ewZS0cjIMJz9A,
Werckmeister Harmonies,,2000,Hungary,Béla Tarr,yes,https://drive.google.com/file/d/1AJ3z1_jPWiNX8CmieQ8y-VLgjRcYu5YRkA/view,https://drive.google.com/file/d/1WPEADyaXIq_HsWpmHkgD6zLuUPhrfYRmuw/view
The Turin Horse,,2011,Hungary,Béla Tarr,yes,https://drive.google.com/open?id=1xHS-bjG-TWVBBMPMxjmmrv9tFLnoQNoVgQ,
Tarr Béla I Used to Be a Filmmaker,,2014,Hungary,Béla Tarr,no,https://drive.google.com/open?id=1sAedQMg8OxBHI77j9_RuG-_7WPTDaG_HNg,
Son of Saul,,2015,Hungary,László Nemes,yes,https://drive.google.com/open?id=1eUvKTHOLk3rLwqBFCzxmzbno_pYWWqommw,
Meecha Nagar,,1946,India,Chetan Anand,no,https://drive.google.com/open?id=14yRK3JEwwBmcFSAhuJg8DPyJGcW6u6i7YQ,
Pather Panchali,,1955,India,Satyajit Ray,yes,https://drive.google.com/open?id=1sXTspryAAprQU-QkqrdL4LS1OBqLoBgO0A,
Aparajito,,1956,India,Satyajit Ray,yes,https://drive.google.com/open?id=1kjrPK31jN3196kTj-N_oU_SsAZj_7HBbqA,
The World of Apu,,1959,India,Satyajit Ray,yes,https://drive.google.com/open?id=1bz_SD7a8l9yvD5e3SxzAPSvSsiRmboSqBA,
Devi,,1960,India,Satyajit Ray,yes,https://drive.google.com/file/d/1JtPf3W6NQSrGYV9gvZFpdChVvdKWUWa4Qw/view,
The Big City,,1963,India,Satyajit Ray,yes,https://drive.google.com/file/d/1W7sDQgSqOvFd84CXqUIDh2MeO24pY1MLrw/view,
Charulata,,1964,India,Satyajit Ray,yes,https://drive.google.com/open?id=1RShHabxSSkXYrciaiHVlfIHKfsDSmhCnng,
Salaam Bombay!,,1988,India,Mira Nair,yes,https://drive.google.com/open?id=1mps73GP5X_Cn2qu8uyzW2JLePT2P4vupnQ,
Monsoon Wedding,,2001,India,Mira Nair,yes,https://drive.google.com/open?id=1bVbDL_QGII6De6FJWTabCgS3wIBNdwqj3A,
Jai Bhim Comrade,,2012,India,Anand Patwardhan,no,https://drive.google.com/open?id=1d7tf6KgnDZMrO5SztihrFyvI4f5tLV2LPw,https://drive.google.com/open?id=1lViICMnfuIGc8bievu5yiCIdTar0QbHS9Q
The House is Black,,1963,Iran,Forugh Farrokhzad,yes,https://drive.google.com/open?id=1-esWNAE_uWwmU6RfTN8QmuF0a779X7yYVQ,
The Cow,,1969,Iran,Dariush Mehrjui,yes,https://drive.google.com/file/d/1aTefSXPzJF-jcm26J9wUekfEPhMkLGad4w/view,
The Experience,,1973,Iran,Abbas Kiarostami,yes,https://drive.google.com/file/d/1i81JGkSvx1HEyA3P16KAv57eiGN8rcod_A/view,
Still Life,,1974,Iran,Sohrab Shahid Saless,yes,https://drive.google.com/open?id=1uXfajHxWCoyKiU3CuJID_YWVzOKFH5ZGmg,
Far from Home,,1975,Iran,Sohrab Shahid Saless,no,https://drive.google.com/open?id=1SiY8MJ2SDVVyOw4t0lb2BpHu80plIw-XYg,
A Wedding Suit,,1976,Iran,Abbas Kiarostami,yes,https://drive.google.com/file/d/15GJGRpNu4hsh_U3uqZO1bsHkDqcs24psZQ/view,
The Report,,1977,Iran,Abbas Kiarostami,yes,https://drive.google.com/file/d/1ZlRq4TDepzhdrY9dVVevkEHb6urqBKaaNw/view,
The Sealed Soil,,1977,Iran,Marva Nabili,no,https://drive.google.com/file/d/1tTP0EPbF_lBudCJvq-9Ex_BDgk4PP0B8hQ/view,
The Runner,,1984,Iran,Amir Naderi,yes,https://drive.google.com/open?id=1gMmepcJ1RyyvJtXc0vqlY25f8DsQEzUrnA,
Boycott,,1986,Iran,Mohsen Makhmalbaf,no,https://drive.google.com/open?id=1A316LmwjvuinhmjE1yZno-ITfirQyRWusg,
The Cyclist,,1987,Iran,Mohsen Makhmalbaf,yes,https://drive.google.com/file/d/190_02lSTbqKK7y8Usy3X_WRfOoGxmgLWEQ/view,
The Peddler,,1987,Iran,Mohsen Makhmalbaf,no,https://drive.google.com/file/d/1_DChdqw3xmauHsxCbYizVa2S9tNWa2bVRA/view,
Where Is My Friend’s House,,1987,Iran,Abbas Kiarostami,yes,https://drive.google.com/open?id=1ESTa5-hAbEZSp5SQdPlcLHVxzjS9WAhwiw,
"Bashu, the Little Stranger",,1989,Iran,Bahram Beizai,yes,https://drive.google.com/open?id=12GUxSATG1LX2zLryv_NSO4jWdDsxgs2FSw,https://drive.google.com/open?id=1zHYLvZNqwbimPBiYD0hgu4Ls7kY6JEVrZg
Homework,,1989,Iran,Abbas Kiarostami,no,https://drive.google.com/file/d/1R6URv60Ww-u1Dq9zvjNH1NYfegNyd5ju0g/view,
Marriage of the Blessed,,1989,Iran,Mohsen Makhmalbaf,yes,https://drive.google.com/open?id=1S5OnVJe3M53T2Ze61SmOf_D4Qo-O5-ETRA,
Close-Up,,1990,Iran,Abbas Kiarostami,yes,https://drive.google.com/file/d/1bBuwpJ3YjfmpYFUvUNkIVOoiScJLw8KXiA/view,
Life and Nothing More…,,1992,Iran,Abbas Kiarostami,yes,https://drive.google.com/open?id=1xbHFxD-UHb4KwSGFVIpdKrUweYBm-QLbdQ,
The Boot,,1993,Iran,Mohammad-Ali Talebi,no,https://drive.google.com/file/d/0B_IRfhO4o3zgRGlSMnFWd0tUZWM/view,
Through the Olive Trees,,1994,Iran,Abbas Kiarostami,yes,https://drive.google.com/open?id=1xoVuQ629sanR8Rt3nZb38lQ3iWxR25zbEQ,
Salaam Cinema,,1995,Iran,Mohsen Makhmalbaf,yes,https://drive.google.com/file/d/1KveyxzHFGI6v1u1FT4DmyNNIzJLXUNZ15g/view,
The White Balloon,,1995,Iran,Jafar Panahi,yes,https://drive.google.com/open?id=16ahd2fao783UI9jJ6R4Cs1FvwsBuq6MCQA,
A Moment of Innocence,,1996,Iran,Mohsen Makhmalbaf,yes,https://drive.google.com/open?id=1WWXo5_07Ur7_U3w5nzJFMOBn5iHLMlSrkA,
Gabbeh,,1996,Iran,Mohsen Makhmalbaf,yes,https://drive.google.com/open?id=1pQYyOEvxfetBTn23XQUIOgylYyr5FSzgGw,
Stardust Stricken - Mohsen Makhmalbaf A Portrait,,1996,Iran,Mohsen Makhmalbaf,no,https://drive.google.com/open?id=1LvYanhDlF0mcr4qNBVkFG2cl5i7jXiBaRw,
The Father,,1996,Iran,Majid Majidi,yes,https://drive.google.com/file/d/16dszBPUOhu7rEFrk8freykpmAkhhB1flqA/view,
Bag of Rice,,1997,Iran,Mohammad-Ali Talebi,no,https://drive.google.com/file/d/12bwY92mrI6t7it9jMJBx9nYrHUKeC6v3kw/view,
Leila,,1997,Iran,Dariush Mehrjui,yes,https://drive.google.com/file/d/1F6X7m384yhy5njONK-ZTC4AmVjAO40PGMQ/view,
Taste of Cherry,,1997,Iran,Abbas Kiarostami,yes,https://drive.google.com/open?id=1Fkzdxm6bRvX4yTnuIpz9NBmHMQVrWPwP6g,
The Mirror,,1997,Iran,Jafar Panahi,yes,https://drive.google.com/open?id=1SGF1eWlv0_flCfm_FBA64D9CiFXRxN95xg,
The Silence,,1998,Iran,Mohsen Makhmalbaf,yes,https://drive.google.com/open?id=1iIcvmjoXTSMkD9HuM06ytUJBW5KQXLmX5A,
The Color Of Paradise,,1999,Iran,Majid Majidi,yes,https://drive.google.com/file/d/1KgR3MfATMFmfQU9IXtztyC4qa7gvwwDKTw/view,
The Wind Will Carry Us,,1999,Iran,Abbas Kiarostami,yes,https://drive.google.com/file/d/1_Gok6SWwQvkbH0YWZlOmUrSJX7Q6Y-Cg5A/view,
The Circle,,2000,Iran,Jafar Panahi,yes,https://drive.google.com/open?id=1LNOqs-k3-o-wNYY47cg4FctLubfYEC3pKQ,
Willow and Wind,,2000,Iran,Mohammad-Ali Talebi,yes,https://drive.google.com/open?id=0BwXDyXF3Y2kORlJ2YkhTY3RmLUE,
Baran,,2001,Iran,Majid Majidi,yes,https://drive.google.com/file/d/1c2NzfLtjoPluXLDs-bM_v-8Z7mcDtuWHBw/view,
Kandahar,,2001,Iran,Mohsen Makhmalbaf,yes,https://drive.google.com/open?id=1e2xju4KYwogs-8JRbchlHchV6IKIWXnmIQ,
Secret Ballot,,2001,Iran,Babak Payami,no,https://drive.google.com/open?id=1QA7obKIZCBweb9wnsIhiymH9zWMB5yeeRg,
Marooned in Iraq,,2002,Iran,Bahman Ghobadi,yes,https://drive.google.com/file/d/1bL6-3g9gKtmwZWP5jwzXZwSzbPYP8pIhvQ/view,
Ten,,2002,Iran,Abbas Kiarostami,yes,https://drive.google.com/open?id=1pVf-BtLId7LUXp6Jaf9oY3759UY1o1KK7g,
Crimson Gold,,2003,Iran,Jafar Panahi,yes,https://drive.google.com/open?id=1bZ7KAUk2CPh9nikkgZqo0EYW1Rs0nZtUkA,
Dancing in the Dust,,2003,Iran,Asghar Farhadi,yes,https://drive.google.com/open?id=1tkUxErOJBBWz3DgOYv7WbCVbSEt_wSS6ig,
Five Dedicated to Ozu,,2003,Iran,Abbas Kiarostami,no dialog,https://drive.google.com/open?id=1ad74cLwDBnG9WxrZlK9yrcyy5zt86mEJfA,
Beautiful City,,2004,Iran,Asghar Farhadi,yes,https://drive.google.com/open?id=1jJvBLvV1Xsl3E76Q0_o6sKSdLl068xn9Zw,
Turtles Can Fly,,2004,Iran,Bahman Ghobadi,yes,https://drive.google.com/open?id=19oh7PrrIqMSK7UdNOo33anI5z3qY6Qv80A,
The Willow Tree,,2005,Iran,Majid Majidi,yes,https://drive.google.com/file/d/1jzmdxXBn_jK5FHLjmdi_u_Mu5GAuR3yRYw/view,
Tickets,,2005,Iran,Abbas Kiarostami,no,https://drive.google.com/open?id=1pGU94fB75cl7Ystdof9mMjwp5Z2pewVuvg,
Fireworks Wednesday,,2006,Iran,Asghar Farhadi,yes,https://drive.google.com/open?id=1rgIhiebVKXnbv2k1bfQ1VL-FRx_sI5sqRg,
Iran A Cinematographic Revolution,,2006,Iran,Nader T. Homayoun,no,https://drive.google.com/open?id=14zQdXWGG1tLmt1VcttyRIgttTKbGg-NDPA,
It’s Winter,,2006,Iran,Rafi Pitts,yes,https://drive.google.com/file/d/1viL5e6x7UJ-3N4i97tR_nX4tTBBXvxHzkA/view,
Offside,,2006,Iran,Jafar Panahi,yes,https://drive.google.com/open?id=1vS1YSEM-QG6xHThuc6VL72k2GIWWAYRVwg,
Shirin,,2008,Iran,Abbas Kiarostami,yes,https://drive.google.com/open?id=1wrLG2vdUTnZoaay1APICXZrfqgX-PN07JA,
The Song of Sparrows,,2008,Iran,Majid Majidi,yes,https://drive.google.com/file/d/1I2HI6H6tUWpHPyveTM2yZIt5if1VYo6dww/view,
About Elly,,2009,Iran,Asghar Farhadi,yes,https://drive.google.com/open?id=1Ba6m8cKMaySbuMsBtOXS4adYFD2SNsWndg,
The White Meadows,,2009,Iran,Mohammad Rasoulof,yes,https://drive.google.com/open?id=1gddD7pm2CTX1eRlICQzuwSuY0PbC3V1BTQ,
Women Without Men,,2009,Iran,Shirin Neshat,yes,https://drive.google.com/open?id=19byy_MscdRP9wvXlIW9nw94l-5pxrgKZlQ,
Women Without Men,,2009,Iran,Shoja Azari,yes,https://drive.google.com/open?id=19byy_MscdRP9wvXlIW9nw94l-5pxrgKZlQ,
Certified Copy,,2010,Iran,Abbas Kiarostami,yes,https://drive.google.com/file/d/1T8t3ht36cpUSDWf_3lfwPuQLzBFw4TcFdg/view,
A Cube of Sugar,,2011,Iran,Seyyed Reza Mir-Karimi,yes,https://drive.google.com/open?id=1MxUn_HLO5GP3wowuIM-KVWjM1tmIJpZe4g,
A Separation,,2011,Iran,Asghar Farhadi,yes,https://drive.google.com/open?id=1IkD97q1iBPWWcZJ3OeoRW3pXlKwve811rA,
This Is Not a Film,,2011,Iran,Jafar Panahi,yes,https://drive.google.com/open?id=1xKXQlM4YUegkfziTMJVrGiH5ZQhVdWE9CQ,
Like Someone in Love,,2012,Iran,Abbas Kiarostami,yes,https://drive.google.com/file/d/1ENSB7vV5hpUtJsfOVjmKqmDcJ47le58wgw/view,
Taxi,,2015,Iran,Jafar Panahi,yes,https://drive.google.com/open?id=1ZydzaKW80Nm83NMemutbFGQvYmofSkPsKg,
Life+1Day,,2016,Iran,Saeed Roustayi,yes,https://drive.google.com/open?id=1_WQ96TGcEVwghUnj2iayU4x4s1lCw9YA2w,
24 Frames,,2017,Iran,Abbas Kiarostami,no dialog,https://drive.google.com/open?id=1zVcutarOtSpfD60YOyw8AMjFIOLrKufnfQ,
Bekas,,2012,Iraq,Karzan Kader,yes,https://drive.google.com/file/d/1hEPunKDzsWqO72ytKhxFAnN6Bh89zuAh/view,
Homeland Iraq Year Zero E1,,2015,Iraq,Abbas Fahdel,arabic,https://drive.google.com/file/d/1g0gFLmHfjztfWLfBKs-2DkSxs8RwtT8POA/view,
Homeland Iraq Year Zero E2,,2015,Iraq,Abbas Fahdel,arabic,https://drive.google.com/file/d/1EeyJot8kxR2bdhPfLVRvbe3HOFhJAoMCMQ/view,
In the Name of the Father,,1993,Ireland,Jim Sheridan,yes,https://drive.google.com/open?id=1McvzOWycmkMo93TdzwjGfVQpL8qFKNrnxg,
Michael Collins,,1996,Ireland,Neil Jordan,yes,https://drive.google.com/open?id=1TCQLl1GUYntos88S-pD4LoPH7khDurbMyA,
The Children Are Watching Us,,1944,Italy,Vittorio De Sica,yes,https://drive.google.com/open?id=1Xx-ppYi4e3cMjjohPSkib24OULD_JtvF_w,
"Rome, Open City",,1945,italy,Roberto Rossellini,yes,https://drive.google.com/open?id=1-2Hq-nwvmL8dvwHN72xVQtvyQLmiPOwKHw,
Paisan,,1946,italy,Roberto Rossellini,yes,https://drive.google.com/file/d/1QMR9TpXu6uA6vlsVlYSx1-ZxFx2Bp4u-mQ/view,
Shoeshine,,1946,Italy,Vittorio De Sica,yes,https://drive.google.com/open?id=1jLm4ZFIwj5gRGaUuGxCI8LZ2SSwVskHdCA,
Bicycle Thieves,,1948,Italy,Vittorio De Sica,yes,https://drive.google.com/open?id=1_7jJPpFzwkGGnHoQ4Wlt9LrTtcESR-qeSw,
Germany Year Zero,,1948,italy,Roberto Rossellini,yes,https://drive.google.com/file/d/1HkinCsztU7KtiP99IGcRvam0cw7uod9R2w/view,
Lies of Love,,1949,italy,Michelangelo Antonioni,no,https://drive.google.com/open?id=1Mz0DG4rdTFYrbB8iZWJG-Iwh25gv-9KMxg,
Path of Hope,,1950,italy,Pietro Germi,yes,https://drive.google.com/open?id=1peTtmdrUz26S6s9vU1UqeYV3Bu_0n7K2ag,
Story of a Love Affair,,1950,italy,Michelangelo Antonioni,no,https://drive.google.com/open?id=1_d75ueVZjnNU2uxnM8ULnRLEd1wUpIcG6Q,
Variety Lights,,1951,Italy,Federico Fellini,yes,https://drive.google.com/open?id=17Ue8_0TWdfDhz1FP5yLL7ujGn9JtTzevUQ,
Two Cents Worth of Hope,,1952,italy,Renato Castellani,no,https://drive.google.com/open?id=1qzSOkh3kAzSMO9nAqGA92w9LrpV57tN_OA,
Umberto D,,1952,Italy,Vittorio De Sica,yes,https://drive.google.com/open?id=1nciqiI892HIgaicHTWmxBkRp3vGS6m1YCQ,
I Vitelloni,,1953,Italy,Federico Fellini,yes,https://drive.google.com/open?id=15vyf2g3lUh1dIQIfg4LD6v4XaGipjVoYtg,https://drive.google.com/open?id=18bsChzyJMAqdLGk86msu5vd1HGn7IPVG_w
The Lady Without Camelias,,1953,italy,Michelangelo Antonioni,no,https://drive.google.com/open?id=1epMsd3uoCrUCt83CrmIAjX9uOnUkNoT5tw,
The Vanquished,,1953,italy,Michelangelo Antonioni,no,https://drive.google.com/open?id=12DFEESDkYuxXKNM01NOupntEUxSZ-3bR4A,https://drive.google.com/open?id=1Fd9mi8BX_Izi9djtQI8m6UWXg5y5lljdYw
La Strada,,1954,Italy,Federico Fellini,yes,https://drive.google.com/open?id=1ugEX6NPuWST9vZIB2vaS6v0elqhwlYfE7Q,
Senso,,1954,italy,Luchino Visconti,yes,https://drive.google.com/open?id=1z0cJEixU9W18Us0nNhQmDw4gBEbqSt2H3w,
Il Bidone,,1955,Italy,Federico Fellini,yes,https://drive.google.com/open?id=1HuKAvg_3vAT0GDSiT_hUnycs8WfNlTmqWA,
Le amiche,,1955,italy,Michelangelo Antonioni,yes,https://drive.google.com/open?id=1G3tZfKio6MKHZVXGlcJV5j2bqQACgt9EHQ,
The Railroad Man ,,1956,italy,Pietro Germi,yes,https://drive.google.com/open?id=18nAEtHYXGvHcZlQCx5tC7qT1eXqGzRiMiw,
Il Grido,,1957,italy,Michelangelo Antonioni,yes,https://drive.google.com/file/d/1xZjbYQHhtjqrwCxxq6gnMZEWAqwwcbBXbg/view,
Nights of Cabiria,,1957,Italy,Federico Fellini,yes,https://drive.google.com/open?id=11CcrrwFJIIlO9vIc1V8GC5ojICXimmRbdA,
Man of Straw,,1958,italy,Pietro Germi,no,https://drive.google.com/open?id=1vRaoXTeVDlN7nrlhyKk2uS3yDCDC0PMk0w,
General Della Rovere,,1959,italy,Roberto Rossellini,no,https://drive.google.com/open?id=1CSzYhTaN-TStYcKxvecyqnMOtOKdj1MS6A,
The Facts of Murder,,1959,italy,Pietro Germi,no,https://drive.google.com/open?id=1mRaryceNIMP7aaBFTyoRcdM7yNJswgxiLQ,
The Great War,,1959,italy,Mario Monicelli,no,https://drive.google.com/open?id=1wbQ_ecMJ6QAL1yil72F2vyVZgVuvtifOng,
Banditi a Orgosolo,,1960,Italy,Vittorio De Seta,yes,https://drive.google.com/open?id=1KY2AWRFgLPnAZRa0DlCeOs9cEzsayyj-1w,
L’Avventura,,1960,italy,Michelangelo Antonioni,yes,https://drive.google.com/file/d/16iNVA1aTbhnbGHdNZn5bQArhChDTh4N6SA/view,
La Dolce Vita,,1960,Italy,Federico Fellini,yes,https://drive.google.com/open?id=1bcN3VZchJMaFOyfMA88cQ-ql-nbCzzOURw,
Rocco and His Brothers,,1960,italy,Luchino Visconti,yes,https://drive.google.com/open?id=1CYiYLglMVJiBux23h-rJFZM2p6gI8bOTRQ,
Accattone,,1961,italy,Pier Paolo Pasolini,yes,https://drive.google.com/open?id=1SQDvpNKl4hLt8BS-QRaf9pwZlaUksJU-Dg,
Divorce Italian Style,,1961,italy,Pietro Germi,yes, https://drive.google.com/open?id=1lKIcjGGK6DpcrTH27L4epV5VocHch2J8FQ,
Il Posto,,1961,Italy,Ermanno Olmi,yes,https://drive.google.com/open?id=1QNGad8PbZ18nYuPFnYmc4eT2pTBvT5p-VA,
La Notte,,1961,italy,Michelangelo Antonioni,yes,https://drive.google.com/open?id=1gt_df0L4yRUsc_pKNy-t7VSUTeeV9QsAPA,
Family Diary,,1962,Italy,Valerio Zurlini,no,https://drive.google.com/open?id=1QtKkybNkGDpKrCZ8l9AiCR5m333hb75JyA,
Il Sorpasso  ,,1962,Italy,Dino Risi,yes,https://drive.google.com/open?id=1aoMEf_CbwwrepB7TpUuI4gBhyf1Cp82mUQ,
L’eclisse,,1962,italy,Michelangelo Antonioni,yes,https://drive.google.com/file/d/1jK__U0KZR8_mV641mH1tuy_7mjiwiq_TrQ/view,
Mamma Roma,,1962,italy,Pier Paolo Pasolini,yes,https://drive.google.com/open?id=1ShVpWUS2rNgLQ78mWNMmeAldC5-jSM-_NQ,
8½,,1963,Italy,Federico Fellini,yes,https://drive.google.com/open?id=13jU2WsTla00AYLnGYD24j0CxoSPR9Qna-A,
Hands Over The City,,1963,Italy,Francesco Rosi,no,https://drive.google.com/open?id=1-5c9cqsrb1by2xIVLC_B88mkELLXz_RUcQ,
I Fidanzati,,1963,Italy,Ermanno Olmi,yes,https://drive.google.com/file/d/1kWLDu3zQgKbJc7Sfnkq_RaFAIPATkyYLhA/view,
The Girl Who Knew Too Much,,1963,italy,Mario Bava,yes,https://drive.google.com/open?id=1M5azYHAUSvF7mBuC9fC3hc1JBmYIL9R7Tw,
The Leopard,,1963,italy,Luchino Visconti,yes,https://drive.google.com/open?id=1Q1Trniv1DElsRJgLAPS72GyciTKDCFhiQg,
"Yesterday, Today and Tomorrow",,1963,Italy,Vittorio De Sica,yes,https://drive.google.com/open?id=1ZFCZDsLIedxest5JtsrFcZrnhznCdj8LTg,
Red Desert,,1964,italy,Michelangelo Antonioni,yes,https://drive.google.com/open?id=1HKFYN8Pg7pP4Sbbo-pSJNtxey4MJGgjd-w,
Seduced and Abandoned,,1964,italy,Pietro Germi,yes,https://drive.google.com/open?id=1gzhDnR1lWIe7wy181bF2NvCe0xM4zEmYDA,
I Knew Her Well,,1965,Italy,Antonio Pietrangeli,yes,https://drive.google.com/file/d/19TD4karT9nNSyxCyfN_PQhMDWUZTeT89Tg/view,
Juliet of the Spirits,,1965,Italy,Federico Fellini,yes,https://drive.google.com/open?id=1faM2V0eLPxGagxNsXdCmMU66XRWgSu3WTA,
Sandra,,1965,italy,Luchino Visconti,yes,https://drive.google.com/open?id=1xyXkwdUP9hCUNsHfhkHn93AFZcWv76IHmQ,
Blow-Up,,1966,italy,Michelangelo Antonioni,yes,https://drive.google.com/open?id=1p5YcYCyVLiA0u1gUYOO00tuCKFi4LLqBfA,
"The Birds, the Bees and the Italians",,1966,italy,Pietro Germi,yes,‎https://drive.google.com/open?id=1ml3XoRkaZfSoHXAfjoqTggk34TE2-YI1pA,
Dillinger Is Dead,,1969,Italy,Marco Ferreri,no,https://drive.google.com/file/d/1q3GPZqWdYqYVun1gcAGRg98rqc2hJhgMdw/view,
Investigation of a Citizen Above Suspicion,,1970,Italy,Elio Petri,yes,https://drive.google.com/open?id=18c6lMdlXu7MwFIWGoMLdsPJS4jbF1v3IJg,
The Garden of the Finzi-Continis,,1970,Italy,Vittorio De Sica,no,https://drive.google.com/open?id=1JhEZcNX2iFb99jPjzddImd0wO8952B0vCQ,
The Working Class Goes to Paradise ,,1971,Italy,Elio Petri,no,https://drive.google.com/open?id=1K72hic70RDKe3o8WPe6rufFk5Ky7zRLlFA,
The Canterbury Tales,,1972,italy,Pier Paolo Pasolini,yes,https://drive.google.com/open?id=1TPv2tptPtAwYhu7SI-u_Ej7G8Tnb_fp2Dw,
The Mattei Affair,,1972,Italy,Francesco Rosi,no,https://drive.google.com/open?id=1JVMD8jkbrOpDFtKbK2m2gZYG6VQ_GfWmmA,
Amarcord,,1973,Italy,Federico Fellini,yes,https://drive.google.com/open?id=16HGwhxxvbqoTbdoxJXJusApo8c_QagwFFA,
